QD1_yrborn2,QD2_gender,QD14_ethnic,QD4_adulthh,QD5_childhh,QD3_marstat,QD16_disab,QD18_urbrur,QL2_Edntt,QO1_Labfor,QO4E_grader,Q1_income,weight
2,1,9,2,5,2,1,4,3,4,5,2,1.078445634412803
3,0,9,1,0,1,0,3,7,1,3,4,0.6826845684652703
3,0,9,2,0,3,0,3,7,1,2,-2,1.0024713955611804
2,1,7,1,3,1,0,3,5,2,3,2,0.6559202144746152
1,1,9,1,0,1,0,3,3,7,NA,1,0.8092994252503716
2,1,9,1,0,1,0,3,7,8,NA,-2,0.6559202144746152
7,1,12,2,0,5,1,3,5,3,3,-2,0.8504206174812271
7,1,12,1,0,5,0,3,6,3,3,2,0.5791377537851232
8,1,9,2,0,2,1,3,1,3,5,-2,1.0938772634897311
6,1,12,1,0,5,0,3,1,3,3,1,0.492873269564928
2,0,9,2,0,3,0,3,3,1,3,4,1.1102410555374014
7,0,9,2,0,2,0,3,4,3,4,5,0.8833255808125
2,1,9,2,0,3,0,2,7,1,2,4,0.9704535961163426
2,1,9,2,1,2,0,2,3,2,3,4,0.9704535961163426
3,0,9,2,1,2,0,2,1,1,5,7,1.2757593234146083
4,1,9,4,0,2,0,2,3,1,3,-2,1.8809706197700073
3,0,9,2,0,3,0,2,1,1,2,3,1.2757593234146083
5,1,9,3,0,2,0,3,3,1,3,8,1.3165876314428449
6,1,9,2,0,2,0,3,1,3,5,-2,0.7971547731832568
5,1,9,2,0,4,0,3,3,1,3,-2,1.0198893155566
2,0,7,2,3,3,0,3,1,-2,NA,-2,1.2228488103026627
4,1,9,2,1,2,0,3,3,1,3,6,1.2696946175914403
2,0,9,1,0,1,0,3,4,1,4,4,0.832155104573264
5,1,9,2,0,4,0,3,4,1,5,4,1.0191461344147954
2,1,11,2,2,1,0,3,7,2,3,3,1.0948707156673179
2,0,11,2,1,2,0,3,3,1,3,1,1.252579643070069
4,1,11,2,2,2,0,3,7,2,2,-2,1.301512798152321
6,0,9,2,0,2,1,3,7,3,3,-2,0.6908845852229163
6,0,10,1,0,1,0,3,4,3,4,-2,0.47049346945024983
7,0,9,2,0,2,0,4,4,3,4,-2,0.7370494605800535
5,0,9,1,0,5,1,4,5,3,3,2,0.6790371879303808
7,1,9,2,0,2,0,4,1,3,4,2,0.7267477431610958
5,1,9,1,0,5,0,4,7,1,4,4,0.593541445469963
4,1,9,1,0,1,1,4,1,5,NA,2,0.7394586047891852
6,1,9,2,0,2,0,4,1,3,6,3,0.6812281128330183
6,0,9,1,0,5,0,4,1,3,4,2,0.5307416474230129
6,0,9,2,0,2,0,4,5,3,4,2,0.7793545431540764
3,0,9,2,1,2,0,5,7,1,3,-2,0.9509239788940572
7,1,9,1,0,5,0,4,1,3,3,-2,0.49502638730613086
5,1,9,2,0,2,0,4,1,2,5,-2,0.8717651716407149
5,1,9,2,0,3,1,5,5,3,3,-2,0.8717651716407149
6,0,9,1,0,5,1,3,7,1,2,2,0.6101283499734126
-2,0,9,2,0,-2,0,3,1,3,4,-2,0.8959279976758446
3,1,9,2,2,2,0,4,7,2,2,9,1.0356170048960593
4,0,9,2,0,1,0,4,1,1,4,-2,1.5481061077857907
7,1,9,1,0,5,0,4,1,3,6,-2,0.616771408409333
6,1,9,2,0,2,0,4,5,1,4,3,0.8489556568589381
7,1,9,1,0,5,1,4,1,3,3,2,0.616771408409333
6,1,9,1,0,5,0,4,7,3,3,-2,0.3700731760170462
1,1,9,3,1,1,0,3,5,9,NA,-2,1.1605986497644316
1,0,4,2,1,1,0,4,5,2,5,-2,1.0285557623054797
4,0,9,2,2,2,0,4,7,1,2,7,0.9909579544841135
6,1,9,1,0,5,0,4,1,3,3,2,0.3700731760170462
6,1,9,2,0,2,0,4,1,3,4,-2,0.7831241178385224
3,1,9,2,1,2,0,4,5,1,3,-2,0.9553109715747576
6,1,9,2,0,2,0,4,1,3,6,-2,0.7831241178385224
7,1,9,3,0,2,0,4,1,2,3,-2,1.0784957985380663
6,0,9,2,0,2,0,4,5,3,3,-2,0.7795278440855123
5,1,9,2,0,2,0,4,1,3,5,-2,0.8717651716407149
7,1,9,1,0,5,1,5,1,3,5,2,0.49502638730613086
8,0,9,1,0,5,0,4,1,3,4,2,0.8082327608327914
5,0,9,3,-2,2,0,4,8,1,3,-2,1.4284647528620882
4,1,9,3,0,2,0,4,7,1,2,-2,1.5555709936319788
6,1,9,3,0,2,0,4,7,3,2,-2,0.9759254152869015
2,1,9,2,2,2,0,4,3,2,4,-2,1.0136954672322342
6,0,9,2,0,2,0,4,1,3,4,-2,0.8642628157555383
7,0,9,3,0,2,0,5,1,3,4,-2,1.190237657598516
4,1,9,2,1,2,0,4,7,1,3,-2,1.2041387349434747
4,0,9,1,1,1,0,4,1,1,4,-2,0.9381388757607171
3,0,10,2,1,3,0,5,1,1,5,3,0.9886403060578085
4,1,10,2,3,2,0,5,1,1,3,-2,1.129158335174065
5,1,10,2,0,2,0,5,5,2,3,-2,0.9063418372347457
6,1,9,2,0,2,0,3,1,3,5,2,0.6130947211431984
6,1,9,2,0,2,0,3,1,3,6,2,0.6130947211431984
4,1,9,2,0,2,0,3,3,2,3,4,0.9772389873450269
5,1,9,1,0,1,1,3,7,5,NA,1,0.5341780824106062
7,1,12,2,0,2,1,2,7,3,2,2,0.8710404431115546
5,0,9,-2,-2,2,0,-3,5,3,3,-2,1.2990674549258288
2,1,9,1,2,-2,0,3,7,1,2,-2,0.8104281243924987
6,0,9,1,0,-2,1,1,6,3,4,1,0.6914637357870832
1,0,3,5,0,1,0,2,1,2,4,-2,1.9554787689573851
2,0,1,2,1,2,0,2,7,1,3,5,1.2277166899162064
1,1,8,1,0,1,0,1,7,2,5,2,0.901699780067416
4,1,9,2,-2,2,0,3,1,1,3,-2,1.2759622171430398
8,0,9,1,0,1,0,3,1,3,5,-2,0.9495370898640144
5,0,9,3,1,2,0,3,3,3,3,-2,1.5125656576305557
3,1,9,2,2,2,0,2,3,1,3,-2,0.9765146718037182
2,0,9,1,0,1,0,3,3,4,3,-2,0.8362628757554226
